Ingreso_Hab_Dia (S),ADR_USD (P),Public_Noct_USD (P),Fotos (P),Mascotas (M)
46,16.7,15.7,13.3,True
37,37,38,11,False
62.5,27.7,29.5,10,False
63.5,14.1,15.3,12,False
275.3,65.8,67.8,7,False
26.8,26.8,26.5,11.5,False
99.7,23.7,18,14.3,False
97.5,16.5,17,6,False
205.2,13.6,37.3,15.3,False
149.8,30.1,31.7,6.3,False
165,15.5,15,7,False
280,14,14,10,False
336,14,14,10,False
172,16,15,7,False
203,12.4,15,7,False
350,14,14,10,False
308,14,14,10,False
514.7,45.5,45.3,14.3,False
75.5,15.7,17.5,8,False
313,21.5,28.5,15.2,False
437.8,27.8,35,17.3,False
380.3,28.4,34.4,17.6,False
514.6,25.3,34.8,19.3,False
331.3,26.1,32.6,16.6,False
593,25.8,36.3,20,False
504.9,25.9,33.3,18.5,False
415.7,29.5,36.2,20,False
343.9,29.6,37.4,15.4,False
304.8,28.9,32.7,19.9,False
306.2,34.1,35.3,15.2,False
406.5,26.4,32.4,19.8,False
139,12.6,14,7,True
159,12.2,14,7,True
244,10.2,14,7,True
61,10.2,14,7,True
42,10.5,14,7,True
190.7,24.4,25,13,False
70,11.7,14,7,True
198.5,21.8,23.5,11,True
191.5,21.9,23.5,11,True
114,10.4,14,7,True
62.4,31.2,35,1,False
314,62.8,71,17,False
238.5,38.4,40.5,11,False
145.3,29.3,30.3,10,False
195,10,10,6.5,False
531.6,20.2,27.5,12,False
79.6,18.6,23.3,11,False
312.1,21.5,22.1,10.7,False
441.8,19.6,20.5,8.5,False
182.3,15.5,25.7,17,False
229.8,15.5,24,15.3,False
202.1,13,20,14.7,False
195.7,12.8,19.4,14.6,False
221.1,12.7,18.4,13.9,False
180.4,11.9,11.9,8.7,False
183.1,14,13.1,8,False
198,14.2,15.6,8.6,False
11,11,10,8,False
22,11,10,8,False
22,11,10,8,False
78,26,26,9,False
20,10,10,8,False
173,19.6,22,7.3,False
530,22.5,22.5,15,False
10,10,10,3,False
520,26,22,4,False
550,25,22,4,False
468,26,22,4,False
624,26,22,4,False
475,25,22,4,False
550,25,22,4,False
257.5,22.5,20,5,False
351,20.9,20,5,False
243,17.7,16.7,5.7,False
352.7,19.2,19.3,4.7,False
288.7,19.3,19.3,4.7,False
297,16,16,5.5,False
1023,33,34,6,(en blanco)
924,33,34,6,(en blanco)
1038,33.5,34,6,(en blanco)
1020,34,34,6,(en blanco)
1054,34,34,6,(en blanco)
534,24,26.5,7.5,False
560,27,26.5,7.5,False
536.5,26.5,26.5,7.5,False
515.5,22.5,22.5,4,True
10,10,19,9,False
